Membership Type,LongTrip,Lat,Long,Year,Month,Temp,TripCount
24 Hour Walk Up Pass,1,30.26043,-97.73935,2019,8,87.2,5
24 Hour Walk Up Pass,1,30.28382,-97.74196,2020,5,76.1,10
24 Hour Walk Up Pass,1,30.2425,-97.71722,2020,10,69.6,65
24 Hour Walk Up Pass,1,30.26386,-97.76365,2021,1,52.4,18
24 Hour Walk Up Pass,0,30.26805,-97.7428,2020,6,81.5,1
24 Hour Walk Up Pass,0,30.26386,-97.76365,2021,4,65.2,5
24 Hour Walk Up Pass,0,30.26386,-97.76365,2020,2,52.5,1
24 Hour Walk Up Pass,0,30.26619,-97.743477,2019,11,56.8,5
24 Hour Walk Up Pass,0,30.24251,-97.71755,2019,6,82.3,1
24 Hour Walk Up Pass,1,30.268999,-97.766563,2021,6,80.3,84
24 Hour Walk Up Pass,1,30.28365,-97.73955,2020,10,69.6,8
24 Hour Walk Up Pass,0,30.24892,-97.74992,2021,11,58.4,9
24 Hour Walk Up Pass,0,30.24251,-97.71755,2019,10,69.8,6
24 Hour Walk Up Pass,1,30.24329,-97.72277,2020,6,81.5,27
24 Hour Walk Up Pass,0,30.26993,-97.74212,2018,10,69.5,3
24 Hour Walk Up Pass,1,30.28382,-97.74196,2020,12,52.4,4
24 Hour Walk Up Pass,1,30.28382,-97.74196,2022,1,47.2,2
24 Hour Walk Up Pass,1,30.24892,-97.74992,2020,1,54.8,11
24 Hour Walk Up Pass,0,30.26686,-97.74945,2021,5,72.4,5
24 Hour Walk Up Pass,0,30.24251,-97.71755,2020,11,63.2,9
24 Hour Walk Up Pass,1,30.27947,-97.74479,2021,7,80.8,8
24 Hour Walk Up Pass,1,30.26619,-97.743477,2021,5,72.4,10
24 Hour Walk Up Pass,0,30.26476,-97.73152,2022,2,46.8,1
24 Hour Walk Up Pass,1,30.26476,-97.73152,2020,10,69.6,11
24 Hour Walk Up Pass,1,30.28347,-97.73743,2020,11,63.2,3
24 Hour Walk Up Pass,0,30.264341,-97.740441,2019,4,68.2,2
24 Hour Walk Up Pass,0,30.25866,-97.74848,2019,1,50.1,1
24 Hour Walk Up Pass,1,30.26386,-97.76365,2019,11,56.8,31
24 Hour Walk Up Pass,1,30.26476,-97.73152,2020,3,67.5,1
24 Hour Walk Up Pass,0,30.28365,-97.73955,2019,9,85.3,3
24 Hour Walk Up Pass,0,30.26204,-97.76143,2018,10,69.5,16
24 Hour Walk Up Pass,0,30.26011,-97.73829,2020,2,52.5,9
24 Hour Walk Up Pass,1,30.26768,-97.74147,2021,12,62.7,12
24 Hour Walk Up Pass,0,30.26024,-97.77379,2020,7,86.5,1
24 Hour Walk Up Pass,1,30.27267,-97.74083,2018,12,52.5,31
24 Hour Walk Up Pass,0,30.26768,-97.74147,2018,10,69.5,3
24 Hour Walk Up Pass,0,30.26709,-97.73933,2018,12,52.5,2
24 Hour Walk Up Pass,0,30.26709,-97.73933,2019,4,68.2,1
24 Hour Walk Up Pass,1,30.26993,-97.74212,2021,5,72.4,16
24 Hour Walk Up Pass,0,30.26686,-97.74945,2019,5,77.3,4
24 Hour Walk Up Pass,1,30.268999,-97.766563,2021,9,78.9,34
24 Hour Walk Up Pass,0,30.26024,-97.77379,2021,9,78.9,3
24 Hour Walk Up Pass,0,30.26805,-97.7428,2019,11,56.8,3
24 Hour Walk Up Pass,1,30.26709,-97.73933,2020,6,81.5,10
24 Hour Walk Up Pass,1,30.29058,-97.7429,2020,9,77,3
24 Hour Walk Up Pass,1,30.28533,-97.74652,2020,5,76.1,3
24 Hour Walk Up Pass,1,30.26024,-97.77379,2021,4,65.2,6
24 Hour Walk Up Pass,1,30.26458,-97.75716,2019,8,87.2,30
24 Hour Walk Up Pass,0,30.2425,-97.71722,2019,6,82.3,1
24 Hour Walk Up Pass,1,30.28533,-97.74652,2019,7,84.2,1
24 Hour Walk Up Pass,1,30.28365,-97.73955,2020,6,81.5,2
24 Hour Walk Up Pass,1,30.25527,-97.71635,2018,10,69.5,11
24 Hour Walk Up Pass,1,30.28668,-97.7448,2020,9,77,2
24 Hour Walk Up Pass,1,30.26993,-97.74212,2020,12,52.4,1
24 Hour Walk Up Pass,1,30.29058,-97.7429,2021,7,80.8,3
24 Hour Walk Up Pass,0,30.26458,-97.75716,2021,11,58.4,11
24 Hour Walk Up Pass,0,30.26386,-97.76365,2021,3,62.4,9
